docity,강원강릉시,강원고성군,강원동해시,강원삼척시,강원속초시,강원양구군,강원양양군,강원영월군,강원원주시,강원인제군,강원정선군,강원철원군,강원춘천시,강원태백시,강원평창군,강원홍천군,강원화천군,강원횡성군,경기가평군,경기강화군,경기고양시,경기과천시,경기광명시,경기광주시,경기구리시,경기군포시,경기김포시,경기남양주시,경기동두천시,경기부천시,경기성남시,경기수원시,경기시흥시,경기안산시,경기안성시,경기안양시,경기양주시,경기양평군,경기여주군,경기여주시,경기연천군,경기오산시,경기옹진군,경기용인시,경기의왕시,경기의정부시,경기이천시,경기파주시,경기평택시,경기포천시,경기하남시,경기화성시,경기인천시청,경상거제시,경상거창군,경상경산시,경상경주시,경상고령군,경상고성군,경상구미시,경상군위군,경상기장군,경상김천시,경상김해시,경상남해군,경상달성군,경상마산시,경상문경시,경상밀양시,경상봉화군,경상사천시,경상산청군,경상상주시,경상성주군,경상안동시,경상양산시,경상영덕군,경상영양군,경상영주시,경상영천시,경상예천군,경상울릉군,경상울주군,경상울진군,경상의령군,경상의성군,경상진주시,경상진해시,경상창녕군,경상창원시,경상청도군,경상청송군,경상칠곡군,경상통영시,경상포항시,경상하동군,경상함안군,경상함양군,경상합천군,경상부산시,경상대구시,경상울산시,광주시광산구,광주시남구,광주시동구,광주시북구,광주시서구,대구시달서구,대구시수성구,대구시남구,대구시달서구.1,대구시달성군,대구시동구,대구시북구,대구시서구,대구시수성구.1,대구시중구,대전시대덕구,대전시동구,대전시서구,대전시유성구,대전시중구,부산시강서구,부산시금정구,부산시남구,부산시동구,부산시동래구,부산시부산진구,부산시북구,부산시사상구,부산시사하구,부산시서구,부산시수영구,부산시연제구,부산시영도구,부산시중구,부산시해운대구,부산시기장군,서울강남구,서울강동구,서울강북구,서울강서구,서울관악구,서울광진구,서울구로구,서울금천구,서울노원구,서울도봉구,서울동대문구,서울동작구,서울마포구,서울서대문구,서울서초구,서울성동구,서울성북구,서울송파구,서울양천구,서울영등포구,서울용산구,서울은평구,서울종로구,서울중구,서울중랑구,울산시남구,울산시동구,울산시북구,울산시울주군,울산시중구,인천시강화군,인천시계양구,인천시남구,인천시남동구,인천시동구,인천시미추홀구,인천시부평구,인천시서구,인천시연수구,인천시중구,전라강진군,전라고창군,전라고흥군,전라곡성군,전라광양시,전라구례군,전라군산시,전라김제시,전라나주시,전라남원시,전라담양군,전라목포시,전라무안군,전라무주군,전라보성군,전라부안군,전라순창군,전라순천시,전라신안군,전라여수시,전라영광군,전라영암군,전라완도군,전라완주군,전라익산시,전라임실군,전라장성군,전라장수군,전라장흥군,전라전주시,전라정읍시,전라진도군,전라진안군,전라함평군,전라해남군,전라화순군,전라광주시,제주서귀포시,제주제주시,충청갈매로,충청계룡시,충청고운동,충청공주시,충청괴산군,충청국책연구원1로,충청금남면,충청금산군,충청나리1로,충청나리로,충청남세종로,충청노을3로,충청논산시,충청누리로,충청다솜1로,충청다정남로,충청다정동,충청다정북로,충청다정중앙로,충청단양군,충청달빛1로,충청달빛로,충청당진군,충청당진시,충청대평로,충청도담동,충청도움1로,충청도움3로,충청마음로,충청마음안1로,충청마음안로,충청만남로,충청보듬2로,충청보듬3로,충청보듬4로,충청보람동,충청보람동로,충청보람로,충청보령시,충청보은군,충청부강면,충청부여군,충청새롬남로,충청새롬동,충청새롬북로,충청새롬중앙로,충청서산시,충청서천군,충청소담동,충청소정면,충청시청대로,충청아름동,충청아산시,충청연기군,충청연기면,충청연동면,충청연서면,충청영동군,충청예산군,충청옥천군,충청음성군,충청장군면,충청전의면,충청절재로,충청제천시,충청조치원읍,충청종촌동,충청증평군,충청진천군,충청천안시,충청청양군,충청청원군,충청청주시,충청충주시,충청태안군,충청한누리대로,충청홍성군,충청대전시
강원정선군,0.028801904423000242,,0.030351681675712668,0.02895222943194157,,,,0.0465755777602133,,,0.7,,,0.03490067296917645,0.054654657816528736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023979671256072848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025555669530019576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026227935137334416,,,,,,,,,,,,,
강원철원군,,,,,,0.017241653376423555,,,,,,0.7,0.021786652343642156,,,,0.02937668522077777,,0.026199626952928625,,,,,,,,,0.01780427440767144,0.02925183131366125,,,,,,,,0.021962928467786812,,,,0.04729085633775251,,,,,0.019798478698304773,,,,0.03441553010747285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017262358098485975,0.0176091246750922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원춘천시,,,,,,0.02755758513906433,,,,0.021422882460807716,,0.020044323338612592,0.7,,,0.037996844644175756,0.03752033686871897,0.01928812112779706,0.04672935226483705,,,,,,,,,0.017833872585136905,0.015997373626618405,,,,,,,,,0.01948510353554163,,,,,,,,,,,,0.020223093287530077,0.015901111121159467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원태백시,,,0.032297498067250775,0.037896370910070254,,,,0.028969953753100342,,,0.03590132306247574,,,0.7,0.023415266223953513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03582284309342672,,,,,,,,0.023876060385302815,0.02630940767931531,,,,,0.032505444080997356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023005832744107158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원평창군,,,,,,,,0.056445969156779956,0.029439263090062333,,0.05125057638777708,,,0.021344894954217188,0.7,0.021451767410062127,,0.03211283224894572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02855012688590641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038581123706672056,,,,,,,,,0.02082344615957717,,,,
강원홍천군,,,,,,0.021616873990140346,,,0.025522166995372877,0.020951013362144902,,,0.040821186473845944,,0.01766736167349643,0.7,0.020991804755665033,0.04147394748030739,0.027679668067292117,,,,,,,,,0.016972282760819708,,,,,,,,,,0.024026851107571297,0.021896690581994834,0.02038015275134919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원화천군,,,,,,0.0550643015380416,,,,0.03340150573368014,,0.039016781794425075,0.05416446870305595,,,0.028207165502092322,0.7,,0.038648685927369766,,,,,,,,,,,,,,,,,,,,,,0.0245066453282797,,,,,,,,,0.026990445473055905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원횡성군,,,,,,,,0.017360964710818674,0.05348735345295189,,,,0.01933140773676977,,0.02467304193867421,0.038691078837757464,,0.7,0.016723492407634873,,,,,,,,,,,,,,,,,,,0.02149150981905555,0.027159208578992566,0.025146255898398376,,,,,,,0.01759087162596231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021483351399308036,,,,,,,,,0.016861463593676306,,,,
경기가평군,,,,,,0.007086476358909475,,,,,,0.009489875868837061,0.018397308404368606,,,0.01014348789303949,0.010540264306371724,0.006569282656118214,0.7,,,,,0.007233200446049779,0.00870105816527315,,,0.010981666524239443,0.00920759282013723,,0.006968932693141982,,,,,,0.009016374932199653,0.00978882207026072,0.006450250594598392,,0.007694833190170169,,,,,0.00859493721689512,,,,0.013203620280737953,0.008907517405826309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006907560786558058,0.007762989759001185,0.007779842463848331,,,0.007445128071106237,,,0.008328497547526504,0.008324353920751634,0.00737188639470375,,,0.00642119044840273,0.006487241569807125,0.007237389232761951,0.007270820260639832,0.007399305865721526,,,0.0063970066415219,0.006492741389108186,0.006761856497681167,0.006858465341146209,0.008343117771367963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00743510421117134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기강화군,,,,,,,,,,,,,,,,,,,,0.7,0.002998448925246332,0.0014387141788712464,0.0018204235954862795,,0.001376901541943494,0.0013945365153338236,0.0032736892720772012,,0.001525155257673673,0.002248250626522369,,,0.0016465049548568334,0.0013840564270115772,,0.001431360852867371,0.0016497678553213917,,,,,,0.0022645908550490684,,,0.0016915407717841807,,0.003158450471954567,,,,,0.0021819196741550066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014636572371668646,,0.0016645624249566472,0.0021054822670880133,0.00160477566110404,0.0014187779323641013,0.0018072672813267971,0.001655593554663548,0.0015906193212833282,0.0016246901531897175,0.0015544135492211407,0.001708270881641122,0.0019218508465747056,0.0018589249329665155,0.0014448954896908632,0.001548201114555633,0.0016287805742275772,,0.001933349405831874,0.0018665499760900607,0.0016926633586338957,0.0019333825779885368,0.0017137826369999973,0.0016485415929571791,0.001464261290031738,,,,,,0.20787757903713272,0.0025662712335380285,0.002374145569898008,0.0020825416234681892,0.002468124156898981,0.002374145569898008,0.0024419490156097753,0.0029558801865524485,0.0019989885969287076,0.002522769173366835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기고양시,,,,,,,,,,,,,,,,,,,,0.004310503805795434,0.7,0.0036856021446018718,0.0054209605770560295,0.0023267472686129267,0.0036418227278545304,0.003246807120674019,0.016412924778900266,0.0029963070948470214,0.0031513957360792626,0.006881261046514954,0.0029141172717281937,0.0026182813863309864,0.0037565663936135274,0.0029029669509806205,,0.003491446436629719,0.004220250719596373,,,,0.00211052531693173,,0.004396577607351496,,0.0030045641473789185,0.004780413520050383,,0.010369104568332376,,0.0025548952928490807,0.0028492772571780127,0.002275992373572397,0.005058508300855563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004067958227574921,0.003444243150740754,0.005265712893530619,0.008542062126918435,0.004594009195080983,0.0038647621833978554,0.005643343301172859,0.004563487869424559,0.004712537241602558,0.004862189799101758,0.004639883130598092,0.005358393206089363,0.0073787232011085745,0.006958765269961794,0.0039015763441769013,0.004597633406051972,0.005125018287155489,0.0035086834466784484,0.006594217023697268,0.006420359876587858,0.005448412791590359,0.00781631568840365,0.005729194461913471,0.005242751455186271,0.004085634634199757,,,,,,0.004263119281869536,0.008588816890992708,0.0048403843666565746,0.005013432105075756,0.00498607800412087,0.0048403843666565746,0.006800439031974155,0.007695238207045599,0.004073622912316968,0.004777124720464314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002377672056566744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기과천시,,,,,,,,,,,,,,,,,,,,0.0014616219476894154,0.0026045794322587645,0.7,0.006776462624754315,0.0034805426667299942,0.00370925908948701,0.009338717157534952,0.0026040178130680184,0.0026965663150202595,0.0015520342758940653,0.003830418615719809,0.005834705771089494,0.005859417027217437,0.004795172914651962,0.004337278779791693,0.0015420175001887712,0.015879830977265103,0.0020664662312527035,0.001846192711618397,0.0013823132709161123,0.0013923671177503581,,0.0025720766568576364,0.002657543728915556,0.002867341482664,0.008645206451666235,0.002385129626344841,0.0018986545135375543,0.002008194310983115,0.0016556974478831763,0.0014980472446341,0.0035118070680548877,0.002842168030357806,0.0032632775391963848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007408563148074674,0.005018118077731086,0.0034878236348205955,0.004528376976454169,0.013080588930878316,0.005590508035845407,0.007166049742017274,0.010351762058750127,0.003203956218090359,0.0030394694909497994,0.0049110867570152355,0.0080945437066928,0.005001952217592823,0.004776293476130314,0.011397242847394599,0.005307084807518567,0.004584500932960423,0.005850686598930849,0.005697778847369063,0.006114393118106925,0.006675779872885648,0.0041286123731496755,0.005146883560476049,0.0055015990257595414,0.003785344026825356,,,,,,0.0014523221094187913,0.003241051937991485,0.0027265250259858025,0.003587014516539833,0.0026571526133431222,0.0027265250259858025,0.0032583438733823243,0.002687731790878578,0.0029923367223155177,0.002506418582040565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003520452978704651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
